Compound,DateHapp,Negative,Neutral,Positive,Tweets Ago,source
-0.7269,2017-12-02 23:26:05+00:00,0.705,0.295,0.0,51,nytimes
0.8513,2017-11-30 03:35:13+00:00,0.458,0.0,0.542,51,CBS
-0.1027,2017-12-02 23:00:16+00:00,0.931,0.069,0.0,51,CNN
0.0,2017-11-29 23:47:37+00:00,1.0,0.0,0.0,51,fox
-0.5574,2017-12-02 22:45:06+00:00,0.753,0.247,0.0,50,CNN
0.0,2017-12-02 23:16:04+00:00,1.0,0.0,0.0,50,nytimes
0.0,2017-11-29 23:42:09+00:00,1.0,0.0,0.0,50,fox
-0.2023,2017-12-02 07:34:05+00:00,0.913,0.087,0.0,50,BBC
0.7232,2017-11-30 03:33:32+00:00,0.698,0.0,0.302,50,CBS
-0.3818,2017-12-01 19:00:02+00:00,0.867,0.133,0.0,49,BBC
0.0,2017-11-29 23:34:46+00:00,1.0,0.0,0.0,49,fox
-0.4215,2017-12-02 23:06:06+00:00,0.872,0.128,0.0,49,nytimes
0.0,2017-11-30 03:23:03+00:00,1.0,0.0,0.0,49,CBS
0.0,2017-12-02 22:30:06+00:00,1.0,0.0,0.0,49,CNN
0.4522,2017-11-29 23:28:30+00:00,0.814,0.0,0.186,48,fox
0.0,2017-12-02 22:56:03+00:00,1.0,0.0,0.0,48,nytimes
0.8979,2017-11-30 03:11:31+00:00,0.557,0.049,0.394,48,CBS
0.4019,2017-12-02 22:15:07+00:00,0.816,0.0,0.184,48,CNN
0.0,2017-12-01 18:30:09+00:00,1.0,0.0,0.0,48,BBC
-0.5474,2017-11-29 23:24:52+00:00,0.586,0.414,0.0,47,fox
0.4404,2017-12-02 22:46:01+00:00,0.828,0.0,0.172,47,nytimes
0.0,2017-11-30 03:09:54+00:00,1.0,0.0,0.0,47,CBS
-0.4215,2017-12-02 22:00:05+00:00,0.833,0.167,0.0,47,CNN
0.5574,2017-12-01 18:01:03+00:00,0.816,0.0,0.184,47,BBC
0.6988,2017-11-30 03:07:20+00:00,0.548,0.0,0.452,46,CBS
-0.7096,2017-12-02 21:45:05+00:00,0.651,0.349,0.0,46,CNN
0.296,2017-12-02 22:36:01+00:00,0.879,0.0,0.121,46,nytimes
0.8591,2017-12-01 17:30:09+00:00,0.667,0.0,0.333,46,BBC
0.4404,2017-11-29 23:24:28+00:00,0.676,0.11,0.214,46,fox
0.4767,2017-12-01 17:18:28+00:00,0.807,0.0,0.193,45,BBC
0.8158,2017-11-29 23:18:23+00:00,0.401,0.0,0.599,45,fox
-0.8625,2017-12-02 21:30:14+00:00,0.484,0.516,0.0,45,CNN
0.4754,2017-12-02 22:26:05+00:00,0.721,0.0,0.279,45,nytimes
0.0,2017-11-30 03:06:38+00:00,1.0,0.0,0.0,45,CBS
0.7067,2017-11-30 03:03:15+00:00,0.754,0.0,0.246,44,CBS
0.0,2017-12-01 17:06:02+00:00,1.0,0.0,0.0,44,BBC
0.0,2017-12-02 22:16:02+00:00,1.0,0.0,0.0,44,nytimes
0.1779,2017-12-02 21:15:16+00:00,0.898,0.0,0.102,44,CNN
0.3182,2017-11-29 23:12:04+00:00,0.566,0.0,0.434,44,fox
0.0,2017-11-29 23:00:46+00:00,1.0,0.0,0.0,43,fox
0.0,2017-12-02 22:06:06+00:00,1.0,0.0,0.0,43,nytimes
0.4003,2017-12-01 16:30:03+00:00,0.828,0.0,0.172,43,BBC
0.0,2017-11-30 03:02:34+00:00,1.0,0.0,0.0,43,CBS
0.0,2017-12-02 21:00:10+00:00,1.0,0.0,0.0,43,CNN
0.7269,2017-11-29 22:43:57+00:00,0.643,0.0,0.357,42,fox
0.0,2017-12-01 16:03:06+00:00,1.0,0.0,0.0,42,BBC
0.0,2017-11-30 02:59:59+00:00,1.0,0.0,0.0,42,CBS
-0.296,2017-12-02 21:56:02+00:00,0.909,0.091,0.0,42,nytimes
-0.6369,2017-12-02 20:45:51+00:00,0.42,0.346,0.234,42,CNN
0.0,2017-12-01 15:31:05+00:00,1.0,0.0,0.0,41,BBC
0.6514,2017-11-30 02:45:03+00:00,0.842,0.0,0.158,41,CBS
0.0,2017-12-02 21:46:03+00:00,1.0,0.0,0.0,41,nytimes
0.7845,2017-11-29 22:42:03+00:00,0.566,0.0,0.434,41,fox
-0.4404,2017-12-02 20:30:38+00:00,0.861,0.139,0.0,41,CNN
0.0,2017-12-02 21:36:01+00:00,1.0,0.0,0.0,40,nytimes
0.0,2017-12-01 14:59:04+00:00,1.0,0.0,0.0,40,BBC
0.0,2017-11-29 22:32:40+00:00,1.0,0.0,0.0,40,fox
0.1139,2017-11-30 00:06:05+00:00,0.936,0.0,0.064,40,CBS
-0.5859,2017-12-02 20:15:04+00:00,0.774,0.226,0.0,40,CNN
0.1027,2017-12-01 14:28:33+00:00,0.748,0.117,0.136,39,BBC
0.2144,2017-11-29 21:40:38+00:00,0.902,0.0,0.098,39,fox
-0.5106,2017-12-02 20:00:55+00:00,0.807,0.193,0.0,39,CNN
0.6825,2017-11-29 23:20:13+00:00,0.772,0.0,0.228,39,CBS
0.0,2017-12-02 21:26:06+00:00,1.0,0.0,0.0,39,nytimes
0.0,2017-12-02 19:45:12+00:00,1.0,0.0,0.0,38,CNN
0.6461,2017-11-29 06:41:23+00:00,0.74,0.0,0.26,38,fox
0.5826,2017-11-29 23:15:24+00:00,0.848,0.0,0.152,38,CBS
-0.4019,2017-12-02 21:15:09+00:00,0.87,0.13,0.0,38,nytimes
-0.296,2017-12-01 14:00:07+00:00,0.885,0.115,0.0,38,BBC
-0.34,2017-12-02 19:30:05+00:00,0.833,0.167,0.0,37,CNN
0.0,2017-11-29 23:14:57+00:00,1.0,0.0,0.0,37,CBS
